date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:58	52/52	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/navbar-fixed-top/navbar-fixed-top.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/navbar-fixed-top/navbar-fixed-top.css	(from http://getbootstrap.com/examples/navbar-fixed-top/)
10:19:59	2531/2531	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/cover/cover.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/cover/cover.css	(from http://getbootstrap.com/examples/cover/)
10:20:00	2538/2538	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/carousel/carousel.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/carousel/carousel.css	(from http://getbootstrap.com/examples/carousel/)
10:20:00	23861/23861	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/assets/js/vendor/holder.js	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/assets/js/vendor/holder.js	(from http://getbootstrap.com/examples/carousel/)
10:20:01	2409/2409	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/blog/blog.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/blog/blog.css	(from http://getbootstrap.com/examples/blog/)
10:20:02	1557/1557	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/dashboard/dashboard.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/dashboard/dashboard.css	(from http://getbootstrap.com/examples/dashboard/)
10:20:03	793/793	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/signin/signin.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/signin/signin.css	(from http://getbootstrap.com/examples/signin/)
10:20:04	2370/2370	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/justified-nav/justified-nav.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/justified-nav/justified-nav.css	(from http://getbootstrap.com/examples/justified-nav/)
10:20:04	602/602	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/sticky-footer/sticky-footer.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/sticky-footer/sticky-footer.css	(from http://getbootstrap.com/examples/sticky-footer/)
10:20:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Apr%202015%2004:19:11%20GMT	http://getbootstrap.com/examples/sticky-footer-navbar	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/sticky-footer-navbar.6e.delayed	(from http://getbootstrap.com/examples/sticky-footer/)
10:20:07	678/678	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/sticky-footer-navbar/sticky-footer-navbar.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/sticky-footer-navbar/sticky-footer-navbar.css	(from http://getbootstrap.com/examples/sticky-footer-navbar/)
10:20:08	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Apr%202015%2004:19:13%20GMT	http://getbootstrap.com/examples/sticky-footer	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/sticky-footer.70.delayed	(from http://getbootstrap.com/examples/sticky-footer-navbar/)
10:20:09	990/990	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/offcanvas/offcanvas.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/offcanvas/offcanvas.css	(from http://getbootstrap.com/examples/offcanvas/)
